51,,"Luke Shaw Manchester United, 24, D(L),M(L)",2,180,-,-,-,-,-,85.5,3,-,7.27
52,,"Willy Boly Wolverhampton Wanderers, 28, D(C)",2,180,-,-,-,-,-,77.0,3,1,7.27
53,,"John McGinn Aston Villa, 24, M(C)",2,180,1,-,-,-,4,71.4,1,-,7.25
54,,"Gabriel Jesus Manchester City, 22, AM(LR),FW",1(1),93,1,-,-,-,3,94.1,1.5,-,7.25
55,,"Arthur Masuaku West Ham, 25, D(L),M(L)",1,90,-,-,1,-,-,81.4,2,-,7.21
56,,"Dani Ceballos Arsenal, 23, M(CL)",1(1),109,-,2,-,-,1.5,86.7,-,1,7.21
57,,"Alex Oxlade Chamberlain Liverpool, 26, M(CLR)",1,89,-,-,-,-,2,89.5,1,-,7.2
58,,"Oliver Norwood Sheffield United, 28, M(C)",2,180,-,-,-,-,0.5,82.8,0.5,-,7.2
59,,"Harry Wilson Bournemouth, 22, AM(CLR)",1,76,1,-,-,-,5,90.5,-,-,7.19
60,,"Çaglar Söyüncü Leicester, 23, D(C)",2,180,-,-,-,-,-,89.5,4,-,7.18
61,,"Christian Benteke Crystal Palace, 28, FW",2,173,-,-,-,-,0.5,52.8,8.5,-,7.17
62,,"Manuel Lanzini West Ham, 26, AM(CLR)",2,180,-,1,-,-,1,84.7,0.5,1,7.17
63,,"Emiliano Buendía Norwich, 22, M(R)",2,180,-,1,1,-,1.5,78.7,0.5,-,7.17
64,,"Sokratis Arsenal, 31, D(CR)",2,180,-,-,-,-,-,89.0,5,-,7.16
65,,"Jonny Evans Leicester, 31, D(CL)",2,180,-,-,-,-,0.5,88.6,4,-,7.13
66,,"Scott Dann Crystal Palace, 32, D(C)",2,180,-,-,-,-,0.5,80.0,5,-,7.11
67,,"Diego Rico Bournemouth, 26, D(L),M(L)",1,90,-,-,-,-,1,63.6,-,-,7.09
68,,"Dale Stephens Brighton, 30, M(C)",2,180,-,-,-,-,1,81.6,0.5,-,7.09
69,,"James Maddison Leicester, 22, AM(CLR)",2,180,-,1,-,-,3,80.0,-,-,7.08
70,,"Solly March Brighton, 25, AM(CLR)",2,180,-,-,-,-,0.5,82.3,1.5,-,7.07
71,,"David de Gea Manchester United, 28, GK",2,180,-,-,-,-,-,82.5,-,-,7.07
72,,"Nacho Monreal Arsenal, 33, D(CL),M(L)",2,180,-,-,-,-,-,91.2,3.5,-,7.07
73,,"Bernd Leno Arsenal, 27, GK",2,180,-,-,-,-,-,81.6,-,-,7.07
74,,"Jordan Pickford Everton, 25, GK",2,180,-,-,-,-,-,65.2,-,-,7.07
75,,"Pascal Groß Brighton, 28, M(CR)",2,157,-,-,-,-,0.5,80.8,1.5,-,7.07
76,,"Raúl Jiménez Wolverhampton Wanderers, 28, FW",2,180,-,-,-,-,2,73.5,2,-,7.07
77,,"Conor Hourihane Aston Villa, 28, DMC",1,82,-,-,-,-,-,88.0,-,-,7.06
