,rating_wise_sorted,player_name,apps,mins,goals,assists,yellow,red,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating,club,tackles_per_game,interceptions_per_game,offside_won_per_game,clearance_per_game,dribbled_past_per_game,blocks_per_game,own_goals,key_pass_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,avg_pass_per_game,pass_Success_percentage,crosses_per_game,long_balls_per_game,through_balls_per_game
0,1,"Eden Hazard Chelsea, 28, M(CLR),FW",32(5),2926,16,15,2,-,2.5,84.3,0.5,14,7.81,Chelsea,0.4,0.4,-,0.1,0.3,,,2.6,3.7,2.8,0.3,2.3,2.4,49.2,84.3,0.9,2.7,0.3
1,2,"Raheem Sterling Manchester City, 24, M(CLR),FW",31(3),2777,17,10,3,-,2.3,85.8,0.4,8,7.61,Manchester City,0.9,0.5,-,0.1,0.5,0.1,-,1.9,2.4,1.3,0.4,2.6,2.2,37.1,85.8,0.4,0.3,-
2,3,"Mohamed Salah Liverpool, 27, AM(CLR),FW",37(1),3262,22,8,1,-,3.6,75.9,0.3,8,7.57,Liverpool,0.6,0.1,-,0.1,0.3,-,-,1.8,2.1,0.8,0.7,3.1,2.9,28.4,75.9,0.4,0.6,0.3
3,4,"Sergio Agüero Manchester City, 31, AM(CL),FW",31(2),2480,21,8,3,-,3.6,85.0,0.5,5,7.53,Manchester City,0.5,0.3,-,0.1,0.1,-,-,1,1.4,0.8,0.8,1.6,2.2,23.4,85.0,-,0.1,0.1
4,5,"Virgil van Dijk Liverpool, 28, D(C)",38,3385,4,2,1,-,0.8,89.7,4.8,4,7.44,Liverpool,1,1.1,1.1,5.2,-,0.5,-,0.2,0.2,0.6,-,-,0.2,79.9,89.7,-,5.3,-
